x,y,z,yaw
2.500000000000000000e-01,-2.500000000000000000e-01,2.000000000000000000e+00,1.239999999999999991e-01
3.223078269916593852e-01,-2.500000000000000000e-01,2.000000000000000000e+00,1.239999999999999991e-01
3.946067822030719374e-01,-2.409945422000174808e-01,2.000000000000000000e+00,1.238407549896988480e-01
4.668791251489429195e-01,-2.320099362234775420e-01,2.000000000000000000e+00,1.235220959559041459e-01
5.391071245684011526e-01,-2.230600716744053635e-01,2.000000000000000000e+00,1.230436845117293676e-01
6.112730645704482768e-01,-2.141588207450283998e-01,2.000000000000000000e+00,1.224050121747903286e-01
6.833592507732431098e-01,-2.053200312615867662e-01,2.000000000000000000e+00,1.216053992825033847e-01
7.553480164347002868e-01,-1.965575197410659170e-01,2.000000000000000000e+00,1.206439935421036586e-01
8.272217285719506430e-01,-1.878850644616442966e-01,2.000000000000000000e+00,1.195197682122306898e-01
8.989627940671822692e-01,-1.793163985499686697e-01,2.000000000000000000e+00,1.182315199121795057e-01
9.705536657574074244e-01,-1.708652030882361061e-01,2.000000000000000000e+00,1.167778660541933800e-01
1.041976848505702602e+00,-1.625451002442383219e-01,2.000000000000000000e+00,1.151572418934887210e-01
1.113214905251462161e+00,-1.543696464272695801e-01,2.000000000000000000e+00,1.133678971900611981e-01
1.184250463037236134e+00,-1.463523254729448830e-01,2.000000000000000000e+00,1.114078924757364863e-01
1.255066219009717488e+00,-1.385065418599420173e-01,2.000000000000000000e+00,1.092750949194107313e-01
1.325644946392453116e+00,-1.308456139616364089e-01,2.000000000000000000e+00,1.069671737829908931e-01
1.395969500427876486e+00,-1.233827673355541721e-01,2.000000000000000000e+00,1.044815954602090896e-01
1.466022824286261184e+00,-1.161311280536548030e-01,2.000000000000000000e+00,1.018156180902704960e-01
1.535787954939214606e+00,-1.091037160763249636e-01,2.000000000000000000e+00,9.896628573822380259e-02
1.605248028995332810e+00,-1.023134386729844664e-01,2.000000000000000000e+00,9.593042213404567864e-02
1.674386288495675501e+00,-9.577308389222467799e-02,2.000000000000000000e+00,9.270462396273923544e-02
1.743186086666713264e+00,-8.949531408429994839e-02,2.000000000000000000e+00,8.928525369830020431e-02
1.811630893628427996e+00,-8.349265947882754391e-02,2.000000000000000000e+00,8.566843197524849629e-02
1.879704302055265508e+00,-7.777751182049419398e-02,2.000000000000000000e+00,8.185002949261060978e-02
1.947390032787655656e+00,-7.236211806555757631e-02,2.000000000000000000e+00,7.782565844683086986e-02
2.014671940391838056e+00,-6.725857414188352035e-02,2.000000000000000000e+00,7.359066349215943881e-02
2.081534018665748942e+00,-6.247881877523009386e-02,2.000000000000000000e+00,6.914011222969421167e-02
2.147960406088755381e+00,-5.803462738448303404e-02,2.000000000000000000e+00,6.446878522953947144e-02
2.213935391213037285e+00,-5.393760604846717377e-02,2.000000000000000000e+00,5.957116559459583321e-02
2.279443417994450272e+00,-5.019918554696814472e-02,2.000000000000000000e+00,5.444142807944256368e-02
2.344469091060724431e+00,-4.683061547851782858e-02,2.000000000000000000e+00,4.907342778375949066e-02
2.408997180914886460e+00,-4.384295845749666687e-02,2.000000000000000000e+00,4.346068844693031646e-02
2.473012629071816626e+00,-4.124708439302857133e-02,2.000000000000000000e+00,3.759639037906201131e-02
2.536500553125888402e+00,-3.905366485213098565e-02,2.000000000000000000e+00,3.147335807386418549e-02
2.599446251747666636e+00,-3.727316750950962487e-02,2.000000000000000000e+00,2.508404756090288484e-02
2.661835209607681385e+00,-3.591585068636295175e-02,2.000000000000000000e+00,1.842053356895333865e-02
2.723653102225325640e+00,-3.499175798049820874e-02,2.000000000000000000e+00,1.147449658883569097e-02
2.784885800740966477e+00,-3.451071299001860077e-02,2.000000000000000000e+00,4.237209943574686728e-03
2.845519376609404016e+00,-3.448231413278375623e-02,2.000000000000000000e+00,-3.300473003638395089e-03
2.905540106212855189e+00,-3.491592956378856971e-02,2.000000000000000000e+00,-1.114813134696258923e-02
2.964934475391689528e+00,-3.582069219256518028e-02,2.000000000000000000e+00,-1.931578865388110244e-02
3.023689183891192123e+00,-3.720549480263495024e-02,2.000000000000000000e+00,-2.781392427775164489e-02
3.081791149722692413e+00,-3.907898527500733993e-02,2.000000000000000000e+00,-3.665348370511463394e-02
3.139227513437452100e+00,-4.144956191763173731e-02,2.000000000000000000e+00,-4.584588763037983350e-02
3.195985642311774289e+00,-4.432536890268663765e-02,2.000000000000000000e+00,-5.540303939877722766e-02
3.252053134441864835e+00,-4.771429181351203447e-02,2.000000000000000000e+00,-6.533733040001035719e-02
3.307417822747057201e+00,-5.162395330294268503e-02,2.000000000000000000e+00,-7.566164292938981628e-02
3.362067778880090785e+00,-5.606170886474926701e-02,2.000000000000000000e+00,-8.638934995992753052e-02
3.415991317043230779e+00,-6.103464271985881845e-02,2.000000000000000000e+00,-9.753431118763862540e-02
3.469176997709100707e+00,-6.654956381896147410e-02,2.000000000000000000e+00,-1.091108646230154466e-01
3.521613631245217757e+00,-7.261300196311097632e-02,2.000000000000000000e+00,-1.211338129044648160e-01
3.573290281441321881e+00,-7.923120404387459792e-02,2.000000000000000000e+00,-1.336184034049618941e-01
3.624196268938703280e+00,-8.641013040460700234e-02,2.000000000000000000e+00,-1.465803010922947791e-01
3.674321174560867043e+00,-9.415545132440794607e-02,2.000000000000000000e+00,-1.600355529877242056e-01
3.723654842544976695e+00,-1.024725436263775324e-01,2.000000000000000000e+00,-1.740005429501588485e-01
3.772187383673663685e+00,-1.113664874118129866e-01,2.000000000000000000e+00,-1.884919353965814615e-01
3.819909178306890141e+00,-1.208420629220877673e-01,2.000000000000000000e+00,-2.035266064592555213e-01
3.866810879313677507e+00,-1.309037475300573183e-01,2.000000000000000000e+00,-2.191215609825206134e-01
3.912883414903599366e+00,-1.415557128629905681e-01,2.000000000000000000e+00,-2.352938336848541812e-01
3.958117991358008680e+00,-1.528018220592023135e-01,2.000000000000000000e+00,-2.520603727654819326e-01
4.002506095661011898e+00,-1.646456271607955879e-01,2.000000000000000000e+00,-2.694379042315448447e-01
4.046039498030181036e+00,-1.770903666451827951e-01,2.000000000000000000e+00,-2.874427752764386335e-01
4.088710254346938022e+00,-1.901389630983469359e-01,2.000000000000000000e+00,-3.060907751695590151e-01
4.130510708486382576e+00,-2.037940210331392887e-01,2.000000000000000000e+00,-3.253969323415931147e-01
4.171433494546109344e+00,-2.180578248562399235e-01,2.000000000000000000e+00,-3.453752866886226625e-01
4.211471538973206918e+00,-2.329323369877490391e-01,2.000000000000000000e+00,-3.660386365943273934e-01
4.250618062588165103e+00,-2.484191961376728819e-01,2.000000000000000000e+00,-3.873982608035527186e-01
4.288866582503831459e+00,-2.645197157438132773e-01,2.000000000000000000e+00,-4.094636160908826650e-01
4.326210913936818336e+00,-2.812348825756905146e-01,2.000000000000000000e+00,-4.322420126678810925e-01
4.362645171907937325e+00,-2.985653555091011269e-01,2.000000000000000000e+00,-4.557382704670814855e-01
4.398163772827291318e+00,-3.165114644756676365e-01,2.000000000000000000e+00,-4.799543608220380175e-01
4.432761435958670226e+00,-3.350732095912197783e-01,2.000000000000000000e+00,-5.048890396066761932e-01
4.466433184756932739e+00,-3.542502604660009990e-01,2.000000000000000000e+00,-5.305374795589397063e-01
4.499174348071188767e+00,-3.740419556984976301e-01,2.000000000000000000e+00,-5.568909112241554604e-01
4.530980561205933732e+00,-3.944473025530947918e-01,2.000000000000000000e+00,-5.839362836169029736e-01
4.561847766831983897e+00,-4.154649768198155346e-01,2.000000000000000000e+00,-6.116559571943218643e-01
4.591772215739185370e+00,-4.370933228521362013e-01,2.000000000000000000e+00,-6.400274429134475973e-01
4.620750467423627050e+00,-4.593303537764143463e-01,2.000000000000000000e+00,-6.690232018495263500e-01
4.648779390503477771e+00,-4.821737518639668818e-01,2.000000000000000000e+00,-6.986105199171318558e-01
4.675856162959723505e+00,-5.056208690545203055e-01,2.000000000000000000e+00,-7.287514715105620766e-01
4.701978272200905806e+00,-5.296687276178596582e-01,2.000000000000000000e+00,-7.594029842475428227e-01
4.727143514954379455e+00,-5.543140209392980466e-01,2.000000000000000000e+00,-7.905170143997276577e-01
4.751349996990406943e+00,-5.795531144143076796e-01,2.000000000000000000e+00,-8.220408390404118082e-01
4.774596132689267414e+00,-6.053820464384885858e-01,2.000000000000000000e+00,-8.539174665418495236e-01
4.796880644465137955e+00,-6.317965294810650168e-01,2.000000000000000000e+00,-8.860861620176184728e-01
4.818202562063393479e+00,-6.587919512332742755e-01,2.000000000000000000e+00,-9.184830789281890340e-01
