x,y,z,yaw
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999993356682664730e-03,-9.982470320292425044e-06,0.000000000000000000e+00,-1.996494727172655557e-03
1.999996884289559351e-02,-3.209004439087824071e-05,0.000000000000000000e+00,-2.425023722737086000e-03
2.999994884332269490e-02,-5.192683498856555803e-05,0.000000000000000000e+00,-1.542337127648855423e-03
3.999993187144605666e-02,-7.027320390223623745e-05,0.000000000000000000e+00,-2.126938765914455215e-03
5.156434113464693214e-02,-1.101965140934569730e-04,0.000000000000000000e+00,-4.777547348421657888e-03
6.156406973237633917e-02,-1.824976715550443189e-04,0.000000000000000000e+00,-9.682824628444918966e-03
7.537141465930466411e-02,-3.641024941475773944e-04,0.000000000000000000e+00,-1.662119723493934303e-02
9.329449277819021336e-02,-7.434923094621623870e-04,0.000000000000000000e+00,-2.570782276860472670e-02
1.066487001156700420e-01,-1.138812356841168924e-03,0.000000000000000000e+00,-3.348021030401308884e-02
1.166414906240463845e-01,-1.517612926095943419e-03,0.000000000000000000e+00,-4.229827890515993477e-02
1.308905421592872209e-01,-2.200864752979956457e-03,0.000000000000000000e+00,-5.352969766320164052e-02
1.418309471128041954e-01,-2.856783829097151936e-03,0.000000000000000000e+00,-6.623458486841980741e-02
1.520011941236540931e-01,-3.590020926184769694e-03,0.000000000000000000e+00,-7.770894349668044931e-02
1.624459210247967689e-01,-4.457980270560252430e-03,0.000000000000000000e+00,-8.811054588629831097e-02
1.724033994921540247e-01,-5.378881656223043206e-03,0.000000000000000000e+00,-9.633157698897674981e-02
1.825502562710137056e-01,-6.389627155024845545e-03,0.000000000000000000e+00,-1.022367574053089923e-01
1.924955168541545580e-01,-7.434421150395088829e-03,0.000000000000000000e+00,-1.071042925353515723e-01
2.063439280089580385e-01,-8.962848132735701592e-03,0.000000000000000000e+00,-1.127427232300788895e-01
2.165896235204211873e-01,-1.016389247727083472e-02,0.000000000000000000e+00,-1.206407233719894861e-01
2.265131920523654474e-01,-1.139777853019235954e-02,0.000000000000000000e+00,-1.267673923258563762e-01
2.364304494255356770e-01,-1.268147571135372007e-02,0.000000000000000000e+00,-1.306826155943561218e-01
2.463427185979065182e-01,-1.400314247893932884e-02,0.000000000000000000e+00,-1.344265704169689546e-01
2.565873659497535653e-01,-1.541450820569705005e-02,0.000000000000000000e+00,-1.393821784624551807e-01
2.702870341158821188e-01,-1.736607756217087989e-02,0.000000000000000000e+00,-1.436212722549540799e-01
2.821005501001944138e-01,-1.910539162451848488e-02,0.000000000000000000e+00,-1.487400150361295748e-01
2.962392579347395416e-01,-2.126710209778641045e-02,0.000000000000000000e+00,-1.546962847591736856e-01
3.088276720437167500e-01,-2.328424836274819998e-02,0.000000000000000000e+00,-1.630789551077821697e-01
3.260883919224035199e-01,-2.620644126942454563e-02,0.000000000000000000e+00,-1.723352349221599356e-01
3.472859263003970076e-01,-2.999098521741970849e-02,0.000000000000000000e+00,-1.810157249175118332e-01
3.642099931660540690e-01,-3.317302549456744437e-02,0.000000000000000000e+00,-1.906821600852604548e-01
3.841246305494142588e-01,-3.710892346375093548e-02,0.000000000000000000e+00,-1.995654524782744521e-01
4.058591264593060521e-01,-4.158720484282214802e-02,0.000000000000000000e+00,-2.068367885213156510e-01
4.321332046686051642e-01,-4.719541461428039542e-02,0.000000000000000000e+00,-2.137521220637086938e-01
4.570185042178050439e-01,-5.265571673747097142e-02,0.000000000000000000e+00,-2.182395817838685137e-01
4.789748681076269055e-01,-5.759445140881692266e-02,0.000000000000000000e+00,-2.242638277718980166e-01
4.990805978129324028e-01,-6.226182224597576198e-02,0.000000000000000000e+00,-2.319385309405622986e-01
5.208348095459557348e-01,-6.750809668554287601e-02,0.000000000000000000e+00,-2.413469951679935166e-01
5.412881839204854995e-01,-7.266002338262922411e-02,0.000000000000000000e+00,-2.521596095082533351e-01
5.596281969264472744e-01,-7.751141795131569201e-02,0.000000000000000000e+00,-2.650443511775159022e-01
5.769718505458329982e-01,-8.234957544104640204e-02,0.000000000000000000e+00,-2.790407422577320662e-01
5.922401960825716127e-01,-8.685698759763341159e-02,0.000000000000000000e+00,-2.950775963727912954e-01
6.060843977289493978e-01,-9.119020430901889074e-02,0.000000000000000000e+00,-3.116006211863973085e-01
6.236943103293750568e-01,-9.701911356462589175e-02,0.000000000000000000e+00,-3.277004366783637934e-01
6.390714358693927455e-01,-1.023641114540570635e-01,0.000000000000000000e+00,-3.413592831035098807e-01
6.510984615866454162e-01,-1.067412829324324991e-01,0.000000000000000000e+00,-3.567272069368887522e-01
6.668982782803339893e-01,-1.127761688898480941e-01,0.000000000000000000e+00,-3.729886289175973757e-01
6.811746778712202133e-01,-1.184915693477168047e-01,0.000000000000000000e+00,-3.886086510619005674e-01
6.910219054074105971e-01,-1.226031923082586961e-01,0.000000000000000000e+00,-4.024634126911601495e-01
7.005857534426704891e-01,-1.267564710356801350e-01,0.000000000000000000e+00,-4.169264954956068969e-01
7.134676387617998605e-01,-1.325920913002987256e-01,0.000000000000000000e+00,-4.337816152359495470e-01
7.226511699135563793e-01,-1.369536637687827074e-01,0.000000000000000000e+00,-4.530075829421647549e-01
7.353479207065366507e-01,-1.432779126680020221e-01,0.000000000000000000e+00,-4.712449881770170435e-01
7.442200917787974435e-01,-1.478911881569111575e-01,0.000000000000000000e+00,-4.877486189658529203e-01
7.560379879544824044e-01,-1.542686173708860964e-01,0.000000000000000000e+00,-5.019629608051850989e-01
7.704250331475797076e-01,-1.623172986509160698e-01,0.000000000000000000e+00,-5.181600896429361391e-01
7.844323565953130739e-01,-1.704609689800724581e-01,0.000000000000000000e+00,-5.350813945421389883e-01
7.944933229168730238e-01,-1.765419833067236599e-01,0.000000000000000000e+00,-5.522398460961220890e-01
8.029558707641323290e-01,-1.818694781862320031e-01,0.000000000000000000e+00,-5.714719432086322604e-01
8.113181252432363211e-01,-1.873530933877654014e-01,0.000000000000000000e+00,-5.893528043010392015e-01
8.205676105759479588e-01,-1.936703788687965111e-01,0.000000000000000000e+00,-6.090809737358179321e-01
8.287064183802175243e-01,-1.994803579082606582e-01,0.000000000000000000e+00,-6.308556799616673594e-01
8.375881124563158142e-01,-2.061314751744610374e-01,0.000000000000000000e+00,-6.546824762527355679e-01
8.498267804420621685e-01,-2.157652210580670027e-01,0.000000000000000000e+00,-6.790380632268320227e-01
8.595964053299449681e-01,-2.238443368052831228e-01,0.000000000000000000e+00,-7.028955009074676630e-01
8.691742894764808991e-01,-2.321617581782934037e-01,0.000000000000000000e+00,-7.272623205196954155e-01
8.775447911156772918e-01,-2.397921365256356352e-01,0.000000000000000000e+00,-7.510895747291215230e-01
8.847652226761053562e-01,-2.467102141638362889e-01,0.000000000000000000e+00,-7.769430010379647644e-01
8.918084761198256105e-01,-2.538086289304786747e-01,0.000000000000000000e+00,-8.016545331317286305e-01
9.005186765831124651e-01,-2.630156274434587438e-01,0.000000000000000000e+00,-8.245824676728186198e-01
9.091387415465669308e-01,-2.725628802987045129e-01,0.000000000000000000e+00,-8.481974483834202605e-01
9.176276369010967215e-01,-2.824178060921004874e-01,0.000000000000000000e+00,-8.712607833416081693e-01
9.239819535212882018e-01,-2.901391183113409267e-01,0.000000000000000000e+00,-8.931641181583949152e-01
9.327466662475738524e-01,-3.012520841523511628e-01,0.000000000000000000e+00,-9.128125559052391313e-01
9.439250498872853168e-01,-3.160031021202581170e-01,0.000000000000000000e+00,-9.318258437480964052e-01
9.558971144712579138e-01,-3.324453345135580662e-01,0.000000000000000000e+00,-9.510547267411020300e-01
9.684459151335649274e-01,-3.504391572851097703e-01,0.000000000000000000e+00,-9.725870257232970273e-01
9.802691695813516848e-01,-3.681858172877770508e-01,0.000000000000000000e+00,-9.936131854215103365e-01
9.932930846283941628e-01,-3.886293158077142040e-01,0.000000000000000000e+00,-1.013517534135234266e+00
1.004530391068567674e+00,-4.070485601661936736e-01,0.000000000000000000e+00,-1.032471060890424175e+00
1.017903242478502612e+00,-4.298974293553548542e-01,0.000000000000000000e+00,-1.050079071884810977e+00
1.030254020746239840e+00,-4.518993238700079740e-01,0.000000000000000000e+00,-1.068481678890940145e+00
1.043016336209568129e+00,-4.755795671973675476e-01,0.000000000000000000e+00,-1.084480978892655934e+00
1.053827242408706288e+00,-4.963762461545062066e-01,0.000000000000000000e+00,-1.098327978585918352e+00
1.066575214537156979e+00,-5.216854655004680152e-01,0.000000000000000000e+00,-1.110075975958904726e+00
1.078222698592635975e+00,-5.455585162179148462e-01,0.000000000000000000e+00,-1.123687007912915981e+00
1.091419484869250889e+00,-5.735380318274547751e-01,0.000000000000000000e+00,-1.136468178368818416e+00
1.105520161385957101e+00,-6.045437935835465959e-01,0.000000000000000000e+00,-1.151487374036523459e+00
1.117626820303948110e+00,-6.322326812367415894e-01,0.000000000000000000e+00,-1.165722735568375246e+00
1.130780298035433340e+00,-6.634794675505729655e-01,0.000000000000000000e+00,-1.178991609078578806e+00
1.143590665580186405e+00,-6.951098677712651552e-01,0.000000000000000000e+00,-1.192979479063006831e+00
1.155757236862657633e+00,-7.263553464156291550e-01,0.000000000000000000e+00,-1.205966053333886956e+00
1.166192161098211555e+00,-7.542483352587127099e-01,0.000000000000000000e+00,-1.219653926537375144e+00
1.176477563769473544e+00,-7.829787663122075303e-01,0.000000000000000000e+00,-1.234376552122206538e+00
1.186729574019159239e+00,-8.129790937420354746e-01,0.000000000000000000e+00,-1.248639352788973200e+00
1.198008350201952510e+00,-8.475156967667816232e-01,0.000000000000000000e+00,-1.261642538033312944e+00
1.208920416826881672e+00,-8.825301684251183332e-01,0.000000000000000000e+00,-1.275739580258520522e+00
1.218932782811555260e+00,-9.163414019153579559e-01,0.000000000000000000e+00,-1.290056350395813123e+00
1.227630161621438898e+00,-9.473334286163992424e-01,0.000000000000000000e+00,-1.304345524622249064e+00
1.236210579903982865e+00,-9.795460559588304861e-01,0.000000000000000000e+00,-1.316599763980378590e+00
1.244762033164421133e+00,-1.013234940929839789e+00,0.000000000000000000e+00,-1.327821319062011396e+00
1.252168739352771842e+00,-1.043769553808179706e+00,0.000000000000000000e+00,-1.337828785552828581e+00
1.259229259230269182e+00,-1.074333515642203363e+00,0.000000000000000000e+00,-1.349712791081372210e+00
1.266234269292742631e+00,-1.106246231789608236e+00,0.000000000000000000e+00,-1.359723090333620377e+00
1.272734275329857168e+00,-1.137436671774565644e+00,0.000000000000000000e+00,-1.370956017571032470e+00
1.278923555691632075e+00,-1.169028549321255106e+00,0.000000000000000000e+00,-1.383710001829671743e+00
1.284136358881906803e+00,-1.197663099217708194e+00,0.000000000000000000e+00,-1.397734754496842591e+00
1.288128074911018883e+00,-1.221526456156073248e+00,0.000000000000000000e+00,-1.412379078899626661e+00
1.292461060025047459e+00,-1.250174200457235596e+00,0.000000000000000000e+00,-1.428988200085456572e+00
1.296980143049307976e+00,-1.283836551224004419e+00,0.000000000000000000e+00,-1.445705406155576522e+00
1.300635112430815976e+00,-1.315191305319703963e+00,0.000000000000000000e+00,-1.463798150355913874e+00
1.303418879239239825e+00,-1.343382716603725546e+00,0.000000000000000000e+00,-1.480942239714991837e+00
1.305810721502532967e+00,-1.372574387447471844e+00,0.000000000000000000e+00,-1.497144103337458620e+00
1.307441974889772096e+00,-1.397718973073092119e+00,0.000000000000000000e+00,-1.514880248216565750e+00
1.308493980130399859e+00,-1.420093155427930798e+00,0.000000000000000000e+00,-1.532744187254163615e+00
1.309081404184539776e+00,-1.440878973260920848e+00,0.000000000000000000e+00,-1.552341886021896045e+00
1.309250659615098122e+00,-1.463041499953372959e+00,0.000000000000000000e+00,-1.573977045173728717e+00
1.308974779495502450e+00,-1.484671170219889369e+00,0.000000000000000000e+00,-1.593123640425920584e+00
1.308461414018860847e+00,-1.501305227122260222e+00,0.000000000000000000e+00,-1.610174053877995837e+00
1.307904785901947253e+00,-1.513127800988624871e+00,0.000000000000000000e+00,-1.625512724649663232e+00
1.307030560416353238e+00,-1.527084291970647323e+00,0.000000000000000000e+00,-1.641195156690258061e+00
1.306168026342998001e+00,-1.538229217709524033e+00,0.000000000000000000e+00,-1.654874642199141821e+00
1.305163137729544731e+00,-1.549257242364664888e+00,0.000000000000000000e+00,-1.668458837664267280e+00
1.303886818925309665e+00,-1.561564513681383382e+00,0.000000000000000000e+00,-1.679803943295029578e+00
1.302401109360802334e+00,-1.574435520011730372e+00,0.000000000000000000e+00,-1.691632923996702953e+00
1.300548971634793771e+00,-1.589053852237392039e+00,0.000000000000000000e+00,-1.702016038757195870e+00
1.298635637407689725e+00,-1.602902468672479985e+00,0.000000000000000000e+00,-1.714159660417917452e+00
1.296895306804614290e+00,-1.614495609613586735e+00,0.000000000000000000e+00,-1.725442252327573422e+00
1.294745201654820654e+00,-1.627720097500058527e+00,0.000000000000000000e+00,-1.738500097797933464e+00
