x,y,z,yaw
2.500000000000000000e-01,-2.500000000000000000e-01,2.000000000000000000e+00,1.239999999999999991e-01
2.599242444164511223e-01,-2.487714440914187419e-01,2.000000000000000000e+00,1.223335534988799905e-01
2.720944977301287815e-01,-2.472841239593648044e-01,2.000000000000000000e+00,1.208793517532481127e-01
2.820222599377295025e-01,-2.460843218212144246e-01,2.000000000000000000e+00,1.196605676387609007e-01
2.919488638912030587e-01,-2.448750030095728503e-01,2.000000000000000000e+00,1.227967318955443116e-01
3.045964743684051457e-01,-2.433268702114973758e-01,2.000000000000000000e+00,1.208017993136679541e-01
3.195328159493018294e-01,-2.415444991218306248e-01,2.000000000000000000e+00,1.167372739114824060e-01
3.294675075203737369e-01,-2.404035731406164722e-01,2.000000000000000000e+00,1.119461169408972750e-01
3.469441851423096801e-01,-2.385217482478208251e-01,2.000000000000000000e+00,1.025800489279526523e-01
3.657861392617740015e-01,-2.366656053197409570e-01,2.000000000000000000e+00,9.380864350082909753e-02
3.770296495360638822e-01,-2.356423685413111813e-01,2.000000000000000000e+00,8.770510217566869493e-02
3.878926533557550682e-01,-2.347405373033736309e-01,2.000000000000000000e+00,7.795219587372044512e-02
4.046198233119217558e-01,-2.335463618127718577e-01,2.000000000000000000e+00,6.458869776088688175e-02
4.172485876497182833e-01,-2.328245943271478047e-01,2.000000000000000000e+00,4.959241071359598435e-02
4.272394188067782372e-01,-2.323983545830530795e-01,2.000000000000000000e+00,3.568206028934134411e-02
4.372343784553577306e-01,-2.320817409411289056e-01,2.000000000000000000e+00,2.765142267312911337e-02
4.490714204170028201e-01,-2.318065223148963461e-01,2.000000000000000000e+00,1.884145106685521792e-02
4.590701565590126210e-01,-2.316485109752781102e-01,2.000000000000000000e+00,1.276218072869906781e-02
4.690695329214430442e-01,-2.315372303543137000e-01,2.000000000000000000e+00,9.494412736140673409e-03
4.849797066604208950e-01,-2.314146365325724652e-01,2.000000000000000000e+00,5.916028104246705277e-03
4.966432909345392943e-01,-2.314000453068841834e-01,2.000000000000000000e+00,-3.414015389543258172e-03
5.066429926990971833e-01,-2.314738100013553068e-01,2.000000000000000000e+00,-1.133909590705891104e-02
5.166420493597074781e-01,-2.316105025122546512e-01,2.000000000000000000e+00,-1.600028245501390958e-02
5.301693167780369143e-01,-2.318673851732618585e-01,2.000000000000000000e+00,-2.197513131662628266e-02
5.401663185694032254e-01,-2.321118265343362352e-01,2.000000000000000000e+00,-2.691806057783971418e-02
5.554154876016520470e-01,-2.325543778887398383e-01,2.000000000000000000e+00,-3.110833701120476955e-02
5.654097502633931294e-01,-2.328927050360843076e-01,2.000000000000000000e+00,-3.657009216587753936e-02
5.844371345653096572e-01,-2.336564113470499249e-01,2.000000000000000000e+00,-4.366128230241496377e-02
5.970335125570990220e-01,-2.342685681260639474e-01,2.000000000000000000e+00,-5.345799130256347065e-02
6.157486990402064597e-01,-2.353768854687502410e-01,2.000000000000000000e+00,-6.484426849589550179e-02
6.350513562708093307e-01,-2.367265287107227223e-01,2.000000000000000000e+00,-7.476866340696029789e-02
6.551904479979713258e-01,-2.383507294017456757e-01,2.000000000000000000e+00,-8.618129105740125750e-02
6.739565516560884761e-01,-2.400526255317141644e-01,2.000000000000000000e+00,-9.470369319139305964e-02
6.917163308761438145e-01,-2.417934556804501312e-01,2.000000000000000000e+00,-1.007139063969911541e-01
7.227843000407548901e-01,-2.450024642679970999e-01,2.000000000000000000e+00,-1.051359815323599789e-01
7.432406224364285219e-01,-2.471894473374169066e-01,2.000000000000000000e+00,-1.078746957400835010e-01
7.666676466359407804e-01,-2.497730128085392243e-01,2.000000000000000000e+00,-1.118004498188195223e-01
7.873713707460061606e-01,-2.521613636294456340e-01,2.000000000000000000e+00,-1.179012414233755884e-01
8.047529039462117950e-01,-2.543205266339180759e-01,2.000000000000000000e+00,-1.292758810416824722e-01
8.219856961338178891e-01,-2.566340942469778619e-01,2.000000000000000000e+00,-1.376357168732537106e-01
8.379295270396021067e-01,-2.589576532010438581e-01,2.000000000000000000e+00,-1.517948333947495843e-01
8.523874216957451067e-01,-2.612756737565071763e-01,2.000000000000000000e+00,-1.661573366126280205e-01
8.724175408979145674e-01,-2.647755699449376721e-01,2.000000000000000000e+00,-1.798132603810940477e-01
8.847885650792076673e-01,-2.671142459513317080e-01,2.000000000000000000e+00,-1.938661939318627181e-01
9.067979791646009202e-01,-2.716092187867213403e-01,2.000000000000000000e+00,-2.090520294302358195e-01
9.261216397275872092e-01,-2.758418688418575737e-01,2.000000000000000000e+00,-2.222164001388898247e-01
9.417491203398922206e-01,-2.795043609485057257e-01,2.000000000000000000e+00,-2.381986735606552164e-01
9.595337728564756752e-01,-2.839829973832290189e-01,2.000000000000000000e+00,-2.551941942013907227e-01
9.715975723961505217e-01,-2.872448284266878593e-01,2.000000000000000000e+00,-2.729410000373543865e-01
9.830273137784292237e-01,-2.905196823181810384e-01,2.000000000000000000e+00,-2.851485220062995318e-01
9.926000121650758734e-01,-2.934112568885120509e-01,2.000000000000000000e+00,-3.015514093728223766e-01
1.002904419278363601e+00,-2.967206478932801761e-01,2.000000000000000000e+00,-3.199631287392085688e-01
1.016898393779203102e+00,-3.014940152496571879e-01,2.000000000000000000e+00,-3.374881565316291132e-01
1.034868603433520828e+00,-3.079928766584016930e-01,2.000000000000000000e+00,-3.565364663704475578e-01
1.044794904962330850e+00,-3.117944645983947161e-01,2.000000000000000000e+00,-3.749626435954546144e-01
1.054263673951580715e+00,-3.155898652127825943e-01,2.000000000000000000e+00,-3.874869119704361653e-01
1.066670533357487516e+00,-3.207721642076233892e-01,2.000000000000000000e+00,-4.038492896677752242e-01
1.083744580327020257e+00,-3.282464139840873818e-01,2.000000000000000000e+00,-4.213996529586881978e-01
1.092838925441050213e+00,-3.324046629874378711e-01,2.000000000000000000e+00,-4.363081207936743144e-01
1.103637508274692314e+00,-3.375745039531036218e-01,2.000000000000000000e+00,-4.567019075683123042e-01
1.116852252822187586e+00,-3.442152513306467321e-01,2.000000000000000000e+00,-4.746301800817949723e-01
1.127790084865626818e+00,-3.499733879287513227e-01,2.000000000000000000e+00,-4.945236803449483687e-01
1.139687638285380888e+00,-3.565760407326619696e-01,2.000000000000000000e+00,-5.187611820848668787e-01
1.148314651385178742e+00,-3.616327496144255971e-01,2.000000000000000000e+00,-5.415831093408303154e-01
1.158497952868536629e+00,-3.679432360203772623e-01,2.000000000000000000e+00,-5.679599120452460959e-01
1.171376186144322595e+00,-3.763748983829933725e-01,2.000000000000000000e+00,-5.914151958049660429e-01
1.179613885713269861e+00,-3.820437636764144607e-01,2.000000000000000000e+00,-6.140572005356617069e-01
1.191996950693171131e+00,-3.909797505114565586e-01,2.000000000000000000e+00,-6.361337816521335231e-01
1.199960748674860911e+00,-3.970272286512278592e-01,2.000000000000000000e+00,-6.628096054913843460e-01
1.207774251799995646e+00,-4.032678245001629636e-01,2.000000000000000000e+00,-6.850782347408416184e-01
1.215441277247417018e+00,-4.096874756277015805e-01,2.000000000000000000e+00,-7.090789383651476818e-01
1.224146052969296239e+00,-4.173424525599544466e-01,2.000000000000000000e+00,-7.335539095074617988e-01
1.232338552125531450e+00,-4.249012199424288538e-01,2.000000000000000000e+00,-7.568183888242702162e-01
1.240206948145198051e+00,-4.324848374722931599e-01,2.000000000000000000e+00,-7.771223847635191362e-01
1.252167687262547124e+00,-4.445050259680277116e-01,2.000000000000000000e+00,-7.986319868210944861e-01
1.265014220999961081e+00,-4.579687831991517410e-01,2.000000000000000000e+00,-8.190745245531718677e-01
1.277549446923663234e+00,-4.716537152366676033e-01,2.000000000000000000e+00,-8.393620164652473292e-01
1.290329495607848376e+00,-4.862283453961603885e-01,2.000000000000000000e+00,-8.624549332796296319e-01
1.304455304063329102e+00,-5.030921012275912929e-01,2.000000000000000000e+00,-8.845850182613763657e-01
1.322351228074595042e+00,-5.254391359175084597e-01,2.000000000000000000e+00,-9.065276944420738170e-01
1.338338013610512078e+00,-5.462706098740027771e-01,2.000000000000000000e+00,-9.259330674946175677e-01
1.353686581946192957e+00,-5.670430143266450562e-01,2.000000000000000000e+00,-9.429512778858507582e-01
1.370516973814190465e+00,-5.906492777306370234e-01,2.000000000000000000e+00,-9.598952310532549159e-01
1.383344607637709611e+00,-6.093161806214446585e-01,2.000000000000000000e+00,-9.775492699526397988e-01
1.397167125930648179e+00,-6.300778504707199579e-01,2.000000000000000000e+00,-9.892788033398083325e-01
1.414888919689900604e+00,-6.574423239648855555e-01,2.000000000000000000e+00,-1.002912578642890740e+00
1.428865274400018315e+00,-6.797247192503400592e-01,2.000000000000000000e+00,-1.018266650950377716e+00
1.445128919996386596e+00,-7.065175424225279555e-01,2.000000000000000000e+00,-1.032202742716492372e+00
1.460037985121751092e+00,-7.319480759375031065e-01,2.000000000000000000e+00,-1.048869926263021446e+00
1.474830983680265772e+00,-7.580236360882095514e-01,2.000000000000000000e+00,-1.060646844958098134e+00
1.491311126045582691e+00,-7.878776770770182791e-01,2.000000000000000000e+00,-1.072154417983384400e+00
1.508902091551994618e+00,-8.206491844829529869e-01,2.000000000000000000e+00,-1.084170369719132054e+00
1.522530792637771135e+00,-8.468284613302660135e-01,2.000000000000000000e+00,-1.097453198451568301e+00
1.537479374440765545e+00,-8.765008820642071763e-01,2.000000000000000000e+00,-1.110794113811787387e+00
1.552294059691445627e+00,-9.070588456857977544e-01,2.000000000000000000e+00,-1.127961094478266091e+00
1.565565725851091994e+00,-9.355074273008900931e-01,2.000000000000000000e+00,-1.140627721027464903e+00
1.581890638708855823e+00,-9.716014412252548249e-01,2.000000000000000000e+00,-1.151453854471626403e+00
1.596353118607163113e+00,-1.004665005036488479e+00,2.000000000000000000e+00,-1.165461566827078466e+00
1.611055755760303354e+00,-1.039733429246994412e+00,2.000000000000000000e+00,-1.182140805788051807e+00
1.624809633305592360e+00,-1.073963171219113111e+00,2.000000000000000000e+00,-1.195319099159614540e+00
1.638046413529064216e+00,-1.108229314139154820e+00,2.000000000000000000e+00,-1.209004214204237204e+00
1.649598541990810574e+00,-1.139284034818980995e+00,2.000000000000000000e+00,-1.220325431926790882e+00
1.659750610551031347e+00,-1.167513393526990573e+00,2.000000000000000000e+00,-1.230814731948149721e+00
1.670564369263291882e+00,-1.198797096005227436e+00,2.000000000000000000e+00,-1.245158092274669004e+00
1.680598197471629751e+00,-1.229061371337397457e+00,2.000000000000000000e+00,-1.256162570198820383e+00
1.690340247705193422e+00,-1.259453250185365469e+00,2.000000000000000000e+00,-1.265030501003435282e+00
1.700475579988576236e+00,-1.292306756975609039e+00,2.000000000000000000e+00,-1.278087534917521584e+00
1.707480216749974300e+00,-1.316239216083331609e+00,2.000000000000000000e+00,-1.294043119065602321e+00
1.714103334737774986e+00,-1.340122381565058474e+00,2.000000000000000000e+00,-1.306518461038814749e+00
1.720660744741010717e+00,-1.365275665678609585e+00,2.000000000000000000e+00,-1.325030755951088102e+00
1.728375122704308486e+00,-1.397115183729602528e+00,2.000000000000000000e+00,-1.341144751791417011e+00
1.735069207796464008e+00,-1.426941694671322702e+00,2.000000000000000000e+00,-1.358896477955250592e+00
1.741015113320667940e+00,-1.455958309834526565e+00,2.000000000000000000e+00,-1.378464388897891357e+00
1.746608495448766618e+00,-1.486129131022877026e+00,2.000000000000000000e+00,-1.396509726141790253e+00
1.750040477211829204e+00,-1.506826893977180504e+00,2.000000000000000000e+00,-1.416444772535491392e+00
1.754001383886316212e+00,-1.533815958536083324e+00,2.000000000000000000e+00,-1.433708998810110824e+00
1.756523715589918933e+00,-1.553416077521153627e+00,2.000000000000000000e+00,-1.451911298403995909e+00
1.759323268626174830e+00,-1.579016462627479189e+00,2.000000000000000000e+00,-1.471835198766572761e+00
1.760918065253588294e+00,-1.596772964016988317e+00,2.000000000000000000e+00,-1.490608535664217138e+00
1.762307567149885346e+00,-1.616043941221783520e+00,2.000000000000000000e+00,-1.507026558519609649e+00
1.763049864224103258e+00,-1.629217037790589906e+00,2.000000000000000000e+00,-1.521986201515233894e+00
1.763773441647233486e+00,-1.647060360660872913e+00,2.000000000000000000e+00,-1.538547425990288930e+00
1.764020513065878148e+00,-1.657057213224180758e+00,2.000000000000000000e+00,-1.553625446819618450e+00
1.764133694293847032e+00,-1.668312788725835993e+00,2.000000000000000000e+00,-1.567856744461149088e+00
1.764096118280517933e+00,-1.684420641921370088e+00,2.000000000000000000e+00,-1.578401452663486415e+00
1.763920065333382414e+00,-1.698394728879839999e+00,2.000000000000000000e+00,-1.588386926986725456e+00
1.763574069675990952e+00,-1.713361166094473864e+00,2.000000000000000000e+00,-1.599433701028357024e+00
1.763045785976762092e+00,-1.728596544496299403e+00,2.000000000000000000e+00,-1.611480778650709489e+00
1.762584921020894368e+00,-1.738790968987636631e+00,2.000000000000000000e+00,-1.620465456084629885e+00
1.762015863846504882e+00,-1.749037225878291135e+00,2.000000000000000000e+00,-1.632089313701330147e+00
1.760915921113522131e+00,-1.765405970681985792e+00,2.000000000000000000e+00,-1.643697086160439635e+00
1.759446228391385203e+00,-1.783506739283541309e+00,2.000000000000000000e+00,-1.659930202964315038e+00
1.757945468839140268e+00,-1.799122171993666308e+00,2.000000000000000000e+00,-1.673288819172890296e+00
1.755661855053577414e+00,-1.819555143961310906e+00,2.000000000000000000e+00,-1.690902537736464373e+00
1.753587731930974947e+00,-1.835719558282902009e+00,2.000000000000000000e+00,-1.705923751699900626e+00
1.749446688097131553e+00,-1.864483741393151428e+00,2.000000000000000000e+00,-1.721634632933067399e+00
1.744640020210334486e+00,-1.894638633279273510e+00,2.000000000000000000e+00,-1.736096973623792561e+00
1.739791275718842956e+00,-1.922246244863810016e+00,2.000000000000000000e+00,-1.753210823329904855e+00
1.734939908741020220e+00,-1.947167423657363949e+00,2.000000000000000000e+00,-1.772909515249976975e+00
1.730581709756541464e+00,-1.967312973504063756e+00,2.000000000000000000e+00,-1.794787876063145493e+00
1.724180621866155061e+00,-1.994185470255881665e+00,2.000000000000000000e+00,-1.814493584736903253e+00
1.717578561044109664e+00,-2.019769601275189341e+00,2.000000000000000000e+00,-1.832185957316077696e+00
1.711157624976501701e+00,-2.042919083558322857e+00,2.000000000000000000e+00,-1.850540308031776604e+00
1.703956441182198356e+00,-2.066986950648948440e+00,2.000000000000000000e+00,-1.872503667700552432e+00
1.697926640056458991e+00,-2.085687214836164038e+00,2.000000000000000000e+00,-1.892926959607225124e+00
1.690910678982930238e+00,-2.105943779359713108e+00,2.000000000000000000e+00,-1.915513416674063718e+00
1.681384495084949693e+00,-2.131623636079973849e+00,2.000000000000000000e+00,-1.936526271853396430e+00
1.671172023416025887e+00,-2.157306779479211123e+00,2.000000000000000000e+00,-1.961995197731480234e+00
1.658310920127530785e+00,-2.187533997091923421e+00,2.000000000000000000e+00,-1.984153236847638446e+00
1.649061550979245894e+00,-2.207966747005274843e+00,2.000000000000000000e+00,-2.007589771376983911e+00
1.635687300600697114e+00,-2.235800092248963367e+00,2.000000000000000000e+00,-2.029874565036319467e+00
1.621263373505248850e+00,-2.264023629246149305e+00,2.000000000000000000e+00,-2.056631261301628655e+00
1.603192380446145426e+00,-2.297278609186490073e+00,2.000000000000000000e+00,-2.080496223986699533e+00
1.581660834823314987e+00,-2.334872858985957311e+00,2.000000000000000000e+00,-2.101357360642070127e+00
1.563707423007544506e+00,-2.364827671112792906e+00,2.000000000000000000e+00,-2.120117899638690240e+00
1.543274864645889366e+00,-2.397659796775515328e+00,2.000000000000000000e+00,-2.134834993376128587e+00
1.521684403361857951e+00,-2.431159694146397765e+00,2.000000000000000000e+00,-2.151746404251637657e+00
1.501971876267970130e+00,-2.460688032788976187e+00,2.000000000000000000e+00,-2.167115481766007434e+00
1.486138332708768051e+00,-2.483698905268750146e+00,2.000000000000000000e+00,-2.179852463281364283e+00
1.466334211271349552e+00,-2.511752009682384656e+00,2.000000000000000000e+00,-2.191157932008687581e+00
1.445712924026661739e+00,-2.540284692868326921e+00,2.000000000000000000e+00,-2.202065670762415994e+00
1.421191127636683538e+00,-2.573463444932594602e+00,2.000000000000000000e+00,-2.212479908132432893e+00
1.394065520396968738e+00,-2.609180752610944953e+00,2.000000000000000000e+00,-2.228159675377159754e+00
1.366885753668209302e+00,-2.643945386508215201e+00,2.000000000000000000e+00,-2.240549567645234497e+00
1.343888820731843570e+00,-2.672586790213784091e+00,2.000000000000000000e+00,-2.254088395303505798e+00
1.316878460805779971e+00,-2.705391408932785957e+00,2.000000000000000000e+00,-2.265163803910676954e+00
1.293432813014299354e+00,-2.733159595671659670e+00,2.000000000000000000e+00,-2.278820739076977908e+00
1.272398971494777209e+00,-2.757348203682302046e+00,2.000000000000000000e+00,-2.294271774796782903e+00
1.248871922953444624e+00,-2.783606540157593123e+00,2.000000000000000000e+00,-2.308504607390458041e+00
1.229834771761024514e+00,-2.804248884891625160e+00,2.000000000000000000e+00,-2.323020505308036388e+00
1.213035191461795170e+00,-2.822005131125324251e+00,2.000000000000000000e+00,-2.334013315972438107e+00
1.197041331761258709e+00,-2.838539576022961253e+00,2.000000000000000000e+00,-2.345140889699259379e+00
1.179941420318796119e+00,-2.855853123253405457e+00,2.000000000000000000e+00,-2.354832422403073444e+00
1.159325912187953778e+00,-2.876356487919575766e+00,2.000000000000000000e+00,-2.363011142652752028e+00
1.139482939372442161e+00,-2.895807350987629647e+00,2.000000000000000000e+00,-2.369335000180436968e+00
1.119050607160806177e+00,-2.915543094630727250e+00,2.000000000000000000e+00,-2.377734195062640499e+00
1.096972629119876697e+00,-2.936521928413587279e+00,2.000000000000000000e+00,-2.385699233166409083e+00
1.073933244609214466e+00,-2.958142163355705456e+00,2.000000000000000000e+00,-2.390222405998240873e+00
1.046437898113615317e+00,-2.983709156013889974e+00,2.000000000000000000e+00,-2.394817182008822876e+00
1.016780970570551945e+00,-3.011013086818029816e+00,2.000000000000000000e+00,-2.400142874876583399e+00
9.839595450326430459e-01,-3.041015876708653476e+00,2.000000000000000000e+00,-2.401916838096140872e+00
9.606451112904130785e-01,-3.062160718478380339e+00,2.000000000000000000e+00,-2.407993848880217058e+00
9.380670499206510415e-01,-3.082334194642913694e+00,2.000000000000000000e+00,-2.416767900214642495e+00
9.057547330221582538e-01,-3.110735372185542413e+00,2.000000000000000000e+00,-2.424282510810514601e+00
8.728130431069833772e-01,-3.139420167391416161e+00,2.000000000000000000e+00,-2.426038837068595910e+00
8.476246729970067229e-01,-3.161271567218256084e+00,2.000000000000000000e+00,-2.427991545193611156e+00
8.150146070928165898e-01,-3.189394555616199334e+00,2.000000000000000000e+00,-2.431893387375985149e+00
7.869463914043929309e-01,-3.213459772773988643e+00,2.000000000000000000e+00,-2.433762283764498324e+00
7.536829118222283519e-01,-3.241797471280690957e+00,2.000000000000000000e+00,-2.438212043875947366e+00
7.228922898444832823e-01,-3.267869180296615994e+00,2.000000000000000000e+00,-2.439774240084159107e+00
6.856919195168040826e-01,-3.299306794122410125e+00,2.000000000000000000e+00,-2.440139264054887569e+00
6.537228754825633592e-01,-3.326229809038954599e+00,2.000000000000000000e+00,-2.443197542191833271e+00
6.203201524522754529e-01,-3.354213589828566988e+00,2.000000000000000000e+00,-2.445286554940625301e+00
5.844457887343871283e-01,-3.384037147732897655e+00,2.000000000000000000e+00,-2.450785062238419965e+00
5.554149416767575342e-01,-3.407988791511149529e+00,2.000000000000000000e+00,-2.452751172798645740e+00
